id,genre,track_name,artist_name,valence,energy
4IJUO9cdEvsHVDk52UZVHr,electronic,We Swarm,The Glitch Mob,0.395,0.783
5pn8UtwJ4udgSPxOQmLjMI,electronic,NE1BUTU,Scuba,0.107,0.976
7iSlMHJZrETQHufDAKtM2A,electronic,Dionysian,Mister Lies,0.142,0.615
0HYx8SZcAyckuMRJOra30w,emo,Ultimate Steve,The World Is A Beautiful Place & I Am No Longer Afraid To Die,0.103,0.706
1eE035iL7Kmk8Ukj8AQiaX,emo,Black Cat,Mayday Parade,0.701,0.909
0f68jFgJkvcBpj8kobLBmW,emo,Mass Pike,The Get Up Kids,0.813,0.905
6hqt1z34Oz0OZtSfy62OFD,emo,The Hell Song,Sum 41,0.658,0.935
4v42Fw0y5wOPCXTcW1BbGa,emo,Damn Regret,The Red Jumpsuit Apparatus,0.517,0.91
6w1WA0BzrAoj5mfcs2zJlV,folk,Tickle Me Pink,Johnny Flynn,0.488,0.634
5frAZu6tdWC8tR9kbUJjij,folk,Made By Maid,Laura Marling,0.325,0.0807
2qppEPX84bYQmgBjCeF8FO,folk,Love Is All,The Tallest Man On Earth,0.354,0.254
0fE1NThblS3w2eVu13XY31,folk,Against The Grain,Hudson and Troop,0.674,0.614
5wLBkpEwHIlNZJaeh0s7bR,folk,Hello My Old Heart,The Oh Hellos,0.297,0.299
5u8vhCaxI2B5coBtRJtBrp,forro,Versos Sinceros,Baião D4 / Rastapé,0.806,0.617
1YN9a33L6d14qkK9MYJmsq,forro,Forró de Tóquio,Falamansa,0.875,0.613
3N3JNcD0Jr5GZNMfhe01f3,forro,Cachaça Eu Te Amo,Bonde do Forró,0.89,0.85
59JveLo6fZNOY0qWytL7qd,forro,Língua de Jacaré,Baião D4 / Rastapé,0.833,0.809
6IILhT336VZJ9iE0mfuW9n,forro,Entre Tapas e Beijos (Ao Vivo),Banda Calypso,0.936,0.763
54gCwVD0HiU7Hoj95cbw7u,french,Mourir d'aimer,Charles Aznavour,0.339,0.369
3ZkYdmRf0nIPkEP74oWJUm,french,La nuit d'octobre,Serge Gainsbourg,0.777,0.57
7yfTZqfc7KVNvfmcYdcE4R,french,La vie ne m'apprend rien,Daniel Balavoine,0.143,0.44
2UE1LplKFZwAQmDOMd2I5n,french,La chanson des vieux amants,Jacques Brel,0.231,0.26
6cc1eKWOkgIFbnYUjbHvh3,french,D'aventures en aventures,Serge Lama,0.552,0.315
4XsH9zBWPOCdXoH9ZDdS8r,funk,Superfly,Curtis Mayfield,0.748,0.708
7b8s4Z0abQQ4x4jpct4GjR,funk,Cissy Strut,The Meters,0.709,0.799
2INsiycUgobLSy4ksO4MzK,funk,Paint The Toon (feat. Connie Lush),6ix Toys,0.902,0.967
4Gg7js0Xz6yvnTc3QkWkTu,funk,Shake Your Rump To The Funk,The Bar-Kays,0.784,0.907
4dwrL3Z5U2RZ6MZiKE2PgL,funk,Superstition,Stevie Wonder,0.863,0.751
7ki4CTazWzEFSQB7dXY172,garage,The Bag I'm In,Ty Segall Band,0.385,0.69
1eHxtnM4GfNbutadTb3UBC,garage,Awesome Rumble,Various Artists,0.892,0.879
4t0UsYzmmmZRMTWn77jiGF,garage,Show Me Love,Robin S,0.567,0.833
2UE4m8egf0aREmOi47sDOk,garage,Next Girl,The Black Keys,0.255,0.748
1dsdmblZO8CQN6mFtROzY3,garage,Never Again,Submerse,0.272,0.702
4mNtvDIWn5CCOojVZVXqwC,german,Ich kann alles sehen,Tim Bendzko,0.591,0.491
01C6oknRM4lN0W9KXy6r26,german,Everything at Once,Lenka,0.842,0.484
0e298tO6RF5fVPtzyMzofc,german,230409,Casper,0.582,0.769
3FEhbAkm1Dy21UvhbYhFM3,german,Das Beste,Silbermond,0.314,0.401
4BfjFFeMHFNWGoDlWyrUO9,gospel,I Can't Hold It,Byron Cage,0.516,0.993
7AnI6OgwRzwEJrBcMM8x7n,gospel,I Need Your Glory,Earnest Pugh,0.513,0.77
70UkICEyDVChurEvdj081P,gospel,Through the Storm,Yolanda Adams,0.188,0.304
2FUIdYFqRt8IADgYVgXFMa,gospel,Speak To Me,Mary Mary,0.273,0.395
3CcFEkEaP3FStLKRGtoTLl,gospel,The Blood Will Never Lose It's Power - Live,Smokie Norful,0.515,0.737
65EpWkp6dcLzdLk8mbOaOr,goth,Bare Grace Misery,Nightwish,0.471,0.908
7y3nUpTJUlXcA6gKq71yN2,goth,Comalies,Lacuna Coil,0.188,0.739
38hrsxiPLBzgVgDnOKkQKd,goth,More,Sisters of Mercy,0.354,0.449
5YpTWrxJ86Po4DIx7rQjCM,goth,Der Tanz Der Schatten,Theatre Of Tragedy,0.304,0.833
4JaGzRAZdv6Qj3qGbpKxAp,goth,Die Alive,Tarja,0.364,0.969
3VJuHwQWhNjDcKvW7ahahj,grindcore,Impressions,Napalm Death,0.163,0.789
4JMZI6pr1FAthLME7Q0Rp0,grindcore,Love It or Leave It,Misery Index,0.488,0.929
4k7rhLJmiOYsPVtMH9RUVL,grindcore,Druggernaut Jug Fuck,Agoraphobic Nosebleed,0.0576,0.98
0WtIO6NjlYGjPB06NSd016,grindcore,Condemned System,Terrorizer,0.0529,0.98
2FvgRrAet5hKtvfYo21ajC,grindcore,The New Firing-Squad,Nasum,0.193,0.97
5tMHL3jkrbSIuJwwggTdC1,groove,These Arms of Mine,Otis Redding,0.711,0.286
2N5x1dQUiWbgHBGDz9P6lr,groove,Love and Happiness,Al Green,0.736,0.412
29Uf1hxqLNagVglWi3VPIF,groove,Sexual Healing,Marvin Gaye,0.729,0.554
4b3koZFePW7UbUvIiD1Uz5,groove,Stayin' Alive,Various Artists,0.962,0.821
3zsFfaE3kejF0wUb638hix,groove,You Dropped a Bomb On Me,Various Artists,0.888,0.735
6rBgysDXImbq8b61tzVWSn,grunge,High and Dry,Radiohead,0.352,0.383
1nFtiJxYdhtFfFtfXBv06s,grunge,Something In The Way,Nirvana,0.0668,0.201
7kuaH9vJpHTE1mQC0QoMhY,grunge,Change,Candlebox,0.429,0.817
3ZPTb9HHBRt2VDbsIUFnSD,grunge,Shine,Collective Soul,0.353,0.423
6yHCP0UXiKut6hlbsm8f5F,grunge,Mouth,Bush,0.373,0.535
5tmrnhMxx39jnu3kjopMdP,guitar,Evil Ways,Santana,0.73,0.528
2tbdjsdJ9xtyunKnZBkGxF,guitar,Father And Son,Yusuf / Cat Stevens,0.407,0.343
54CJqOVORsJg6NU5zn6cio,guitar,Andalusia,Joe Satriani,0.217,0.838
1UwmAuMxSsfFqJksjujTrz,guitar,Peace Frog - New Stereo Mix,The Doors,0.659,0.565
4hlkZvdhNtzzU9EVHLEkM6,guitar,Klimbim,Don Ross,0.71,0.448
6vrUTGn5p8IrfTZ0J6sIVM,happy,Iris,The Goo Goo Dolls,0.513,0.79
6vvYOBxKmCvUSEQgxdZiAq,happy,Lovefool - Radio Edit,The Cardigans,0.937,0.688
5rb9QrpfcKFHM1EUbSIurX,happy,Yeah! (feat. Lil Jon & Ludacris),Usher,0.583,0.791
2rgqPSIRAfaO2MGo9smdSX,happy,Dancing Queen,ABBA,0.71,0.933
33e9HtOfO1ye1h8xQ7Foc9,happy,The Cave,Mumford & Sons,0.345,0.499
57ebBLITHpRgRKGrlbxMZS,hard-rock,Faithfully,Journey,0.252,0.644
134daqGJfYmvD7VavPUCWb,hard-rock,Locomotive Breath - 2001 Remaster,Jethro Tull,0.302,0.569
3RVg6RZvfOLrw4pqjVNbQr,hard-rock,To Hell and Back,Sabaton,0.305,0.849
3QwuR2BuGsW4bC3P3cnpIN,hard-rock,Crazy,Aerosmith,0.453,0.814
0eFvoRSTTaR2q8bSWVjwfp,hard-rock,Welcome To The Jungle,Guns N' Roses,0.327,0.978
2L47ycvfBMJFzI5dmCmWmq,hardcore,Operation,Circle Jerks,0.778,0.92
63ISXOWS5gmluVZabtaEzF,hardcore,Fix Me,Black Flag,0.491,0.89
50vJ1t2XmH065euE1TM27k,hardcore,Always the Hard Way,Terror,0.371,0.988
6LFuNuo5tixQyi414xrinC,hardcore,Can't Go Back,Descendents,0.695,0.772
480eugcT7xJDUtIX5L3wrB,hardcore,Urban Savages,Reagan Youth,0.543,0.6
5ptkEtEAuvPZoz2WrbP1cT,hardstyle,Night After Night - Zany Radio Edit,Noisecontrollers,0.153,0.954
6cHDbFRk323AWqdAkLot8F,hardstyle,This Is Who We Are - Original Edit,The Pitcher,0.312,0.858
1kyyBJps7EKCNL0MNQ0tDr,hardstyle,Timeless - DJ Mix,Wildstylez,0.175,0.925
1XVlKG1PDxu1LL2Op2TD5p,hardstyle,If You Find - Radio Edit,Frontliner,0.143,0.976
6YyheKQwKEkGtZPHC49JxM,hardstyle,Lessons In Love - Headhunterz Remix Radio Edit,Kaskade,0.6,0.893
6hLrlyozgBK6NPOsURddeW,heavy-metal,Black Ninja,Battle Beast,0.479,0.951
2nCnxiOKAlW19csZ70aDCn,heavy-metal,The Serpentine Offering,Dimmu Borgir,0.0784,0.955
1YIVbE8Z0d9eK8PCaVjq7I,heavy-metal,Lost To Apathy,Dark Tranquillity,0.148,0.965
1cnA8Zf6McVyoWTr8xf0Ml,heavy-metal,Stargazer,Rainbow,0.476,0.948
0B6uxTg34PpMBFhA4fKsAU,heavy-metal,Fury Of The Storm,DragonForce,0.197,0.911
1ID1QFSNNxi0hiZCNcwjUC,hip-hop,Legend,Drake,0.31,0.563
5jG3djnKEjdcJwidjYWtxL,hip-hop,Eazy-er Said Than Dunn,Eazy-E,0.747,0.818
1EiLrPd8JMTcQUr1aLEUKi,hip-hop,Work,Gang Starr,0.814,0.832
6Zm6fxOVPzyArjrNPx9LRe,hip-hop,Tomorrow 'Til Infinity (feat. Gunna),Young Thug,0.283,0.516
6mapJIPnQ23RTAevUoE0DL,hip-hop,Swang,Rae Sremmurd,0.166,0.314
